"date","site","habitat","ID","length","d34S.vs..VCDT","mg.S"
"11/14/2013","Split Rock","Benthic",410,16,4.02,22.4
"11/14/2013","Split Rock","Benthic",446,14,3.74,23.1
"11/14/2013","Split Rock","Benthic",469,16,3.37,33.4
"11/14/2013","Split Rock","Benthic",483,16,3.92,24.9
"11/14/2013","Split Rock","Benthic",499,16,3.76,25.4
"11/14/2013","Split Rock","Pelagic",507,16,3.68,26.7
"11/14/2013","Split Rock","Pelagic",516,15,3.36,24.2
"11/14/2013","Split Rock","Pelagic",529,13,3.97,15.6
"11/14/2013","Split Rock","Pelagic",542,14,3.62,26.7
"11/14/2013","Split Rock","Pelagic",546,16,3.72,19.4
"11/14/2013","Cumberland Head","Pelagic",610,15,3.74,27.9
"11/14/2013","Cumberland Head","Pelagic",616,15,3.97,23.4
"11/14/2013","Cumberland Head","Pelagic",645,13,4.08,14.6
"11/14/2013","Cumberland Head","Pelagic",650,14,3.62,26
"11/14/2013","Cumberland Head","Pelagic",688,16,3.53,27.4
"11/14/2013","Cumberland Head","Benthic",718,13,3.86,23.4
"11/14/2013","Cumberland Head","Benthic",749,14,3.41,27
"11/14/2013","Cumberland Head","Benthic",750,14,3.77,25.5
"11/14/2013","Cumberland Head","Benthic",751,13,3.23,17.4
"11/14/2013","Cumberland Head","Benthic",757,14,3.89,29.4
"11/14/2013","Main Site","Pelagic",831,14,3.57,30.4
"11/14/2013","Main Site","Pelagic",840,13,3.83,22
"11/14/2013","Main Site","Pelagic",859,16,3.94,23.4
"11/14/2013","Main Site","Pelagic",871,15,4.19,23.5
"11/14/2013","Main Site","Pelagic",898,16,3.88,21.3
"11/14/2013","Main Site","Benthic",913,15,4,26
"11/14/2013","Main Site","Benthic",926,16,4.04,29.3
"11/14/2013","Main Site","Benthic",932,15,3.89,34.6
"11/14/2013","Main Site","Benthic",980,16,3.63,29.2
"11/14/2013","Main Site","Benthic",983,16,3.91,23.4
"11/19/2013","Main Site","Benthic",1003,15,3.63,26.1
"11/19/2013","Main Site","Benthic",1028,13,2.76,19.2
"11/19/2013","Main Site","Benthic",1035,15,4.29,25.7
"11/19/2013","Main Site","Benthic",1039,14,3.99,24.7
"11/19/2013","Main Site","Benthic",1080,13,3.54,26.4
"11/19/2013","Main Site","Pelagic",1108,15,2.49,26.9
"11/19/2013","Main Site","Pelagic",1138,15,3.52,23.2
"11/19/2013","Main Site","Pelagic",1141,15,3.7,20.3
"11/19/2013","Main Site","Pelagic",1143,15,3.8,25.6
"11/19/2013","Main Site","Pelagic",1171,15,3.62,21.7
"11/19/2013","Cumberland Head","Benthic",1209,14,3.5,24.7
"11/19/2013","Cumberland Head","Benthic",1214,15,3.63,24.5
"11/19/2013","Cumberland Head","Benthic",1217,13,3.95,21.6
"11/19/2013","Cumberland Head","Benthic",1242,15,3.68,27.6
"11/19/2013","Cumberland Head","Benthic",1297,14,3.72,19.8
"11/19/2013","Cumberland Head","Pelagic",1303,14,3.61,26.9
"11/19/2013","Cumberland Head","Pelagic",1309,15,3.28,27.6
"11/19/2013","Cumberland Head","Pelagic",1349,13,3.82,18.7
"11/19/2013","Cumberland Head","Pelagic",1395,14,3.58,24.5
"11/19/2013","Cumberland Head","Pelagic",1399,13,3.64,23.1
"11/19/2013","Split Rock","Pelagic",1410,14,3.62,23.8
"11/19/2013","Split Rock","Pelagic",1415,15,3.36,23.5
"11/19/2013","Split Rock","Pelagic",1418,15,3.82,26.1
"11/19/2013","Split Rock","Pelagic",1493,15,3.53,21.4
"11/19/2013","Split Rock","Pelagic",1499,16,3.58,27.3
"11/19/2013","Split Rock","Benthic",1522,13,3.83,25.6
"11/19/2013","Split Rock","Benthic",1540,16,3.58,25.4
"11/19/2013","Split Rock","Benthic",1543,15,3.87,23.8
"11/19/2013","Split Rock","Benthic",1550,16,4.01,25.6
"11/19/2013","Split Rock","Benthic",1580,14,3.73,28.3
