"","rep","site","habitat","deltaC.11.04","deltaC.11.14","deltaC.11.19"
"11","1","MS","B",-30.6,-28.9,-28.8
"12","2","MS","B",-29.7,-29.1,-30
"13","3","MS","B",-28.7,-28.3,-28.1
"14","4","MS","B",-28.7,NA,-29.3
"15","5","MS","B",-30.2,NA,-29.4
"16","6","MS","B",-29.3,-29.1,-28.3
"17","7","MS","B",-29.3,NA,-29.2
"18","8","MS","B",-28.8,-28,-30.7
"19","9","MS","B",-28.8,-29.3,-29
"20","10","MS","B",-29.8,-27.6,-29.2
"22","2","MS","P",-29.9,-28.4,-28
"23","3","MS","P",-29.2,-28.8,-30.6
"24","4","MS","P",-28.7,-28.6,-29.3
"26","6","MS","P",-27.7,-29.2,-28.2
"27","7","MS","P",-28,-28.6,-28.2
"28","8","MS","P",-28.2,-28.2,-28.1
"29","9","MS","P",-27.8,-29.3,-28.6
"30","10","MS","P",-28.8,-28.4,NA
"31","1","SR","B",NA,-31,-27.6
"32","2","SR","B",NA,-28.9,-29.7
"33","3","SR","B",NA,-30.2,-29.4
"34","4","SR","B",NA,-28,-29.4
"35","5","SR","B",NA,-29.6,-31.7
"36","6","SR","B",NA,-28.9,-29.6
"37","7","SR","B",NA,-29.5,-28.2
"38","8","SR","B",NA,-30.6,-28.5
"39","9","SR","B",NA,-27.6,-27.8
"40","10","SR","B",NA,-29.7,-30.1
"41","1","SR","P",NA,-29.2,-29
"42","2","SR","P",NA,-28.2,-28.8
"43","3","SR","P",NA,-28.7,-29.3
"44","4","SR","P",NA,-28.5,-27.6
"45","5","SR","P",NA,-28.1,-27.4
"46","6","SR","P",NA,-30.5,-28.8
"47","7","SR","P",NA,-30.3,-28.4
"48","8","SR","P",NA,-29,-27.7
"49","9","SR","P",NA,-28.7,-29.3
"50","10","SR","P",NA,-30.3,-28.1
"51","1","CH","P",NA,-29.4,-28.7
"52","2","CH","P",NA,-28.5,NA
"53","3","CH","P",NA,-30,-28.1
"54","4","CH","P",NA,-29.3,-28.6
"55","5","CH","P",NA,-29,-28.9
"56","6","CH","P",NA,-28.6,-28.9
"57","7","CH","P",NA,-29.4,-28.3
"58","8","CH","P",NA,-28.8,-29.2
"59","9","CH","P",NA,-28.4,-28.9
"60","10","CH","P",NA,-29.2,-28.7
"61","1","CH","B",NA,-29.4,-28.8
"62","2","CH","B",NA,-29.4,-28
"63","3","CH","B",NA,-28.9,-28.5
"64","4","CH","B",NA,-29,-28.9
"65","5","CH","B",NA,-29.1,-29.2
"66","6","CH","B",NA,-28.2,-28.1
"67","7","CH","B",NA,-29.3,-29.1
"68","8","CH","B",NA,-29.5,-28.9
"70","10","CH","B",NA,-28.4,-28.4
"71","1","MS","P",NA,-29,-28.7
"75","5","MS","P",NA,-28.3,-28.2
"119","9","CH","B",NA,NA,-28.5
