"","rep","site","habitat","N.11.04","N.11.14","N.11.19"
"11","1","MS","B",13.1,13.9,13.3
"12","2","MS","B",13.6,13.4,12.9
"13","3","MS","B",13.4,13.1,14.4
"14","4","MS","B",13,NA,14.4
"15","5","MS","B",12.9,NA,12.7
"16","6","MS","B",12.7,13.2,14.3
"17","7","MS","B",13.4,NA,14.3
"18","8","MS","B",13.4,13.5,14.2
"19","9","MS","B",12.3,12.8,13.1
"20","10","MS","B",13,13,14.3
"22","2","MS","P",13.3,14.1,13.9
"23","3","MS","P",13.9,13.4,12.9
"24","4","MS","P",12.8,15,13.4
"26","6","MS","P",12.2,13.8,14.5
"27","7","MS","P",14.1,14.3,15
"28","8","MS","P",13,15,12.5
"29","9","MS","P",13.3,14.7,13.3
"30","10","MS","P",14.4,13.4,NA
"31","1","SR","B",NA,15,13.2
"32","2","SR","B",NA,13,14.5
"33","3","SR","B",NA,13.5,14.6
"34","4","SR","B",NA,12.9,13.5
"35","5","SR","B",NA,13,14.3
"36","6","SR","B",NA,13.2,12.4
"37","7","SR","B",NA,13.8,12.7
"38","8","SR","B",NA,14.4,13.4
"39","9","SR","B",NA,12.6,12.2
"40","10","SR","B",NA,12.7,12.7
"41","1","SR","P",NA,14.4,13.2
"42","2","SR","P",NA,13.7,13.8
"43","3","SR","P",NA,14.3,14.1
"44","4","SR","P",NA,13.9,12.7
"45","5","SR","P",NA,13.2,12.6
"46","6","SR","P",NA,14.9,14.4
"47","7","SR","P",NA,14.7,13.5
"48","8","SR","P",NA,13.4,12.3
"49","9","SR","P",NA,14.3,14.4
"50","10","SR","P",NA,14.8,12.5
"51","1","CH","P",NA,13.9,14.2
"52","2","CH","P",NA,12.1,NA
"53","3","CH","P",NA,14.2,14.5
"54","4","CH","P",NA,14,14.6
"55","5","CH","P",NA,14.3,14
"56","6","CH","P",NA,14.4,13.9
"57","7","CH","P",NA,14.1,15
"58","8","CH","P",NA,14.2,14.2
"59","9","CH","P",NA,13.7,14.5
"60","10","CH","P",NA,14.4,14.3
"61","1","CH","B",NA,14.2,14.2
"62","2","CH","B",NA,13.8,14.2
"63","3","CH","B",NA,14.3,13.8
"64","4","CH","B",NA,14,14.2
"65","5","CH","B",NA,14.1,14.4
"66","6","CH","B",NA,12.1,14.4
"67","7","CH","B",NA,14,13.3
"68","8","CH","B",NA,14.1,14
"70","10","CH","B",NA,13.9,14.8
"71","1","MS","P",NA,13.1,13.4
"75","5","MS","P",NA,13.9,12.5
"119","9","CH","B",NA,NA,14.3
